Task,Iteration 01,Iteration 02,Iteration 03,Iteration 04,Iteration 05
Year wise carrier delay from 2003-2010,6.551,5.341,5.617,4.643,5.283
Year wise NAS delay from 2003-2010,4.626,5.027,4.906,0.584,4.99
Year wise Weather delay from 2003-2010,5.127,4.951,5.858,5.489,5.598
Year wise late aircraft delay from 2003-2010,5.208,5.478,4.955,0.532,5.265
Year wise security delay from 2003-2010,4.576,5.215,0.522,0.36,5.202
